PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Total Spend,Delivery Days,Order Month,Negotiation Savings,Defect Rate %
PO-00039,Epsilon_Group,09-08-2022,23-08-2022,Office Supplies,Delivered,1634,80.53,76.15,50,Yes,131586.02,14,Aug-22,7156.92,3%
PO-00040,Epsilon_Group,11-12-2022,,Office Supplies,Delivered,524,46.28,39.65,14,Yes,24250.72,-44906,Dec-22,3474.12,3%
PO-00041,Beta_Supplies,15-04-2022,27-04-2022,Electronics,Delivered,1132,17.78,15.36,96,Yes,20126.96,12,Apr-22,2739.44,8%
PO-00042,Beta_Supplies,05-04-2022,14-04-2022,Office Supplies,Delivered,560,81.14,77.87,34,No,45438.4,9,Apr-22,1831.2,6%
PO-00043,Gamma_Co,25-01-2023,02-02-2023,Electronics,Delivered,1755,63.87,58.4,85,Yes,112091.85,8,Jan-23,9599.85,5%
PO-00044,Epsilon_Group,10-04-2022,17-04-2022,MRO,Delivered,1549,48.9,42.42,48,Yes,75746.1,7,Apr-22,10037.52,3%
PO-00045,Delta_Logistics,03-01-2023,21-01-2023,MRO,Delivered,749,97.07,94.16,123,Yes,72705.43,18,Jan-23,2179.59,16%
PO-00046,Alpha_Inc,19-12-2022,,Electronics,Delivered,1025,21.11,19.25,15,Yes,21637.75,-44914,Dec-22,1906.5,1%
PO-00047,Beta_Supplies,11-09-2023,18-09-2023,Raw Materials,Delivered,1856,59.77,50.81,191,Yes,110933.12,7,Sep-23,16629.76,10%
PO-00048,Epsilon_Group,28-09-2022,14-10-2022,Office Supplies,Delivered,239,11.46,11.28,4,Yes,2738.94,16,Sep-22,43.02,2%
PO-00049,Delta_Logistics,14-02-2022,05-03-2022,Office Supplies,Pending,1007,52.44,46.06,167,Yes,52807.08,19,Feb-22,6424.66,17%
PO-00050,Alpha_Inc,16-04-2023,,MRO,Pending,736,16.2,15.33,18,Yes,11923.2,-45032,Apr-23,640.32,2%
PO-00051,Epsilon_Group,04-07-2023,14-07-2023,Electronics,Delivered,1007,22.56,19.59,,Yes,22717.92,10,Jul-23,2990.79,0%
PO-00052,Delta_Logistics,08-05-2022,,Office Supplies,Delivered,612,20.99,19.75,102,Yes,12845.88,-44689,May-22,758.88,17%
PO-00053,Alpha_Inc,23-01-2023,02-02-2023,MRO,Pending,1949,72.53,63.26,48,No,141360.97,10,Jan-23,18067.23,2%
PO-00054,Delta_Logistics,22-03-2022,28-03-2022,Office Supplies,Cancelled,1640,77.92,76.41,262,No,127788.8,6,Mar-22,2476.4,16%
PO-00055,Beta_Supplies,20-07-2023,07-08-2023,Electronics,Delivered,1317,68.13,60.52,136,Yes,89727.21,18,Jul-23,10022.37,10%
PO-00056,Epsilon_Group,28-10-2022,30-10-2022,Raw Materials,Delivered,881,100.94,95.05,30,Yes,88928.14,2,Oct-22,5189.09,3%
PO-00057,Delta_Logistics,06-10-2023,,Packaging,Delivered,1578,48.33,42.77,206,Yes,76264.74,-45205,Oct-23,8773.68,13%
PO-00058,Delta_Logistics,26-09-2023,01-10-2023,MRO,Delivered,1204,39.29,35.44,,Yes,47305.16,5,Sep-23,4635.4,0%
PO-00059,Epsilon_Group,06-01-2023,22-01-2023,MRO,Pending,1558,93.46,91.27,39,Yes,145610.68,16,Jan-23,3412.02,3%
PO-00060,Alpha_Inc,15-08-2023,16-08-2023,Packaging,Delivered,1892,32.99,28.81,35,Yes,62417.08,1,Aug-23,7908.56,2%
PO-00061,Epsilon_Group,16-07-2022,01-08-2022,Packaging,Delivered,696,99.59,90.18,25,Yes,69314.64,16,Jul-22,6549.36,4%
PO-00062,Delta_Logistics,23-12-2023,03-01-2024,MRO,Partially Delivered,70,12.37,11.04,10,Yes,865.9,11,Dec-23,93.1,14%
PO-00063,Gamma_Co,13-03-2022,15-03-2022,Raw Materials,Delivered,890,98.26,93.14,49,Yes,87451.4,2,Mar-22,4556.8,6%
PO-00064,Alpha_Inc,16-02-2022,04-03-2022,MRO,Delivered,216,13.95,12.31,5,Yes,3013.2,16,Feb-22,354.24,2%
PO-00065,Delta_Logistics,09-11-2023,12-11-2023,Packaging,Delivered,1347,100.13,94.3,200,Yes,134875.11,3,Nov-23,7853.01,15%
PO-00066,Gamma_Co,22-08-2022,25-08-2022,Office Supplies,Partially Delivered,437,59.51,56.45,25,No,26005.87,3,Aug-22,1337.22,6%
PO-00067,Alpha_Inc,24-10-2022,26-10-2022,Electronics,Delivered,650,103.84,88.28,12,Yes,67496,2,Oct-22,10114,2%
PO-00068,Beta_Supplies,23-03-2022,11-04-2022,Office Supplies,Delivered,365,16.81,15.41,38,Yes,6135.65,19,Mar-22,511,10%
PO-00069,Epsilon_Group,27-08-2022,,Raw Materials,Cancelled,63,61.94,53.8,,Yes,3902.22,-44800,Aug-22,512.82,0%
PO-00070,Alpha_Inc,14-04-2022,22-04-2022,MRO,Delivered,291,98.7,87.02,9,Yes,28721.7,8,Apr-22,3398.88,3%
PO-00071,Alpha_Inc,25-01-2023,08-02-2023,MRO,Cancelled,826,60.5,57.18,18,Yes,49973,14,Jan-23,2742.32,2%
PO-00072,Delta_Logistics,12-10-2022,01-11-2022,Electronics,Pending,1419,69.64,59.28,194,Yes,98819.16,20,Oct-22,14700.84,14%
PO-00073,Gamma_Co,10-04-2023,27-04-2023,Office Supplies,Delivered,614,78.06,73.95,40,Yes,47928.84,17,Apr-23,2523.54,7%
PO-00074,Alpha_Inc,13-10-2023,28-10-2023,Electronics,Delivered,947,56.25,54.25,19,Yes,53268.75,15,Oct-23,1894,2%
PO-00075,Epsilon_Group,09-01-2023,28-01-2023,Raw Materials,Delivered,1413,70.47,69.65,,Yes,99574.11,19,Jan-23,1158.66,0%
PO-00076,Alpha_Inc,16-06-2022,,Office Supplies,Partially Delivered,141,64.15,58.32,,Yes,9045.15,-44728,Jun-22,822.03,0%
PO-00077,Alpha_Inc,15-01-2023,04-02-2023,Office Supplies,Delivered,1440,96.57,83.87,36,Yes,139060.8,20,Jan-23,18288,3%
PO-00078,Delta_Logistics,30-12-2022,03-01-2023,Raw Materials,Delivered,1005,14.87,12.79,,No,14944.35,4,Dec-22,2090.4,0%
PO-00079,Alpha_Inc,03-08-2022,,MRO,Delivered,1528,36.52,33,31,No,55802.56,-44776,Aug-22,5378.56,2%
PO-00080,Gamma_Co,18-11-2023,25-11-2023,MRO,Delivered,1501,106.05,100.99,77,No,159181.05,7,Nov-23,7595.06,5%
PO-00081,Delta_Logistics,01-10-2022,04-10-2022,Packaging,Delivered,558,94.18,81.4,,No,52552.44,3,Oct-22,7131.24,0%
PO-00082,Beta_Supplies,20-12-2023,26-12-2023,MRO,Delivered,825,56.88,50.84,,Yes,46926,6,Dec-23,4983,0%
PO-00083,Beta_Supplies,01-12-2023,07-12-2023,Electronics,Cancelled,84,73.38,71.42,9,Yes,6163.92,6,Dec-23,164.64,11%
PO-00084,Delta_Logistics,26-10-2023,10-11-2023,Raw Materials,Delivered,255,38.64,33.59,27,No,9853.2,15,Oct-23,1287.75,11%
PO-00085,Gamma_Co,15-03-2022,31-03-2022,MRO,Delivered,1154,27.2,26.07,58,Yes,31388.8,16,Mar-22,1304.02,5%
PO-00086,Delta_Logistics,16-09-2023,24-09-2023,Office Supplies,Delivered,1635,56.91,54.37,262,No,93047.85,8,Sep-23,4152.9,16%
PO-00087,Delta_Logistics,13-10-2023,23-10-2023,Raw Materials,Delivered,1945,46.19,40.12,278,No,89839.55,10,Oct-23,11806.15,14%
PO-00088,Delta_Logistics,25-06-2022,10-07-2022,MRO,Partially Delivered,1461,64.09,63.39,228,No,93635.49,15,Jun-22,1022.7,16%
PO-00089,Delta_Logistics,01-07-2023,09-07-2023,Electronics,Delivered,1075,18.53,16.12,147,Yes,19919.75,8,Jul-23,2590.75,14%
PO-00090,Alpha_Inc,08-09-2022,,Packaging,Delivered,1071,101.6,93.91,25,Yes,108813.6,-44812,Sep-22,8235.99,2%
PO-00091,Epsilon_Group,17-06-2022,06-07-2022,Packaging,Pending,1463,101.23,86.17,43,Yes,148099.49,19,Jun-22,22032.78,3%
PO-00092,Beta_Supplies,19-04-2023,26-04-2023,Raw Materials,Delivered,615,78.3,73.68,69,Yes,48154.5,7,Apr-23,2841.3,11%
PO-00093,Gamma_Co,24-01-2023,11-02-2023,Electronics,Delivered,1179,61.74,56.28,,Yes,72791.46,18,Jan-23,6437.34,0%
PO-00094,Alpha_Inc,04-10-2022,09-10-2022,Electronics,Partially Delivered,1845,39.56,37.63,45,Yes,72988.2,5,Oct-22,3560.85,2%
PO-00095,Beta_Supplies,18-10-2023,,Electronics,Cancelled,1895,91.98,86.27,170,Yes,174302.1,-45217,Oct-23,10820.45,9%
PO-00096,Epsilon_Group,06-12-2023,09-12-2023,MRO,Partially Delivered,1550,79.86,69.57,32,No,123783,3,Dec-23,15949.5,2%
PO-00097,Delta_Logistics,25-07-2023,04-08-2023,Packaging,Delivered,752,26.85,24.37,,No,20191.2,10,Jul-23,1864.96,0%
PO-00098,Epsilon_Group,13-08-2022,01-09-2022,Electronics,Delivered,451,95.2,90.07,21,Yes,42935.2,19,Aug-22,2313.63,5%
PO-00099,Beta_Supplies,03-12-2023,,Office Supplies,Delivered,779,93.69,90.92,66,Yes,72984.51,-45263,Dec-23,2157.83,8%
PO-00100,Beta_Supplies,29-11-2022,14-12-2022,MRO,Pending,1629,100.26,86.44,187,No,163323.54,15,Nov-22,22512.78,11%
PO-00101,Alpha_Inc,27-02-2022,22-02-2022,Office Supplies,Delivered,211,75.69,65.4,2,Yes,15970.59,-5,Feb-22,2171.19,1%
PO-00102,Alpha_Inc,23-08-2022,,Office Supplies,Delivered,251,67.49,64.48,2,Yes,16939.99,-44796,Aug-22,755.51,1%
PO-00103,Gamma_Co,02-02-2022,18-02-2022,Raw Materials,Delivered,1045,47.88,44.65,69,Yes,50034.6,16,Feb-22,3375.35,7%
PO-00104,Delta_Logistics,20-11-2022,10-12-2022,MRO,Delivered,319,98.64,89.15,57,Yes,31466.16,20,Nov-22,3027.31,18%
PO-00105,Epsilon_Group,15-02-2023,01-03-2023,Office Supplies,Partially Delivered,1936,93.66,92.24,58,Yes,181325.76,14,Feb-23,2749.12,3%
PO-00106,Delta_Logistics,02-10-2022,22-10-2022,MRO,Cancelled,865,14.7,13.14,135,No,12715.5,20,Oct-22,1349.4,16%
PO-00107,Epsilon_Group,09-03-2022,12-03-2022,Electronics,Delivered,1344,12.5,10.87,44,Yes,16800,3,Mar-22,2190.72,3%
PO-00108,Delta_Logistics,05-08-2022,24-08-2022,Raw Materials,Pending,505,45.42,40.37,62,Yes,22937.1,19,Aug-22,2550.25,12%
PO-00109,Beta_Supplies,04-08-2023,05-08-2023,Packaging,Delivered,1535,90.83,78.28,151,No,139424.05,1,Aug-23,19264.25,10%
PO-00110,Beta_Supplies,19-11-2022,,Office Supplies,Delivered,1800,103.8,96.27,166,Yes,186840,-44884,Nov-22,13554,9%
PO-00111,Delta_Logistics,06-08-2022,15-08-2022,Raw Materials,Pending,1325,24.36,22.75,206,Yes,32277,9,Aug-22,2133.25,16%
PO-00112,Gamma_Co,03-11-2023,09-11-2023,Raw Materials,Delivered,1066,70.45,65.88,56,No,75099.7,6,Nov-23,4871.62,5%
PO-00113,Beta_Supplies,27-05-2023,11-06-2023,Raw Materials,Delivered,1775,47.82,45.86,180,Yes,84880.5,15,May-23,3479,10%
PO-00114,Gamma_Co,10-02-2023,,Raw Materials,Partially Delivered,345,103.62,98.09,25,No,35748.9,-44967,Feb-23,1907.85,7%
PO-00115,Beta_Supplies,21-10-2023,09-11-2023,Electronics,Delivered,1798,94.8,91.83,,Yes,170450.4,19,Oct-23,5340.06,0%
PO-00116,Alpha_Inc,15-04-2023,01-05-2023,MRO,Delivered,769,91.86,86.55,17,Yes,70640.34,16,Apr-23,4083.39,2%
PO-00117,Alpha_Inc,27-05-2022,,Packaging,Delivered,1822,53.23,47.49,39,Yes,96985.06,-44708,May-22,10458.28,2%
PO-00118,Delta_Logistics,29-09-2022,13-10-2022,Packaging,Delivered,387,49.23,45.41,61,Yes,19052.01,14,Sep-22,1478.34,16%
PO-00119,Epsilon_Group,23-05-2022,27-05-2022,MRO,Delivered,928,35.3,32.52,26,Yes,32758.4,4,May-22,2579.84,3%
PO-00120,Alpha_Inc,10-09-2022,21-09-2022,Packaging,Partially Delivered,1126,15.68,14.97,27,Yes,17655.68,11,Sep-22,799.46,2%
PO-00121,Beta_Supplies,29-07-2023,14-08-2023,Raw Materials,Cancelled,841,95.73,85.33,81,Yes,80508.93,16,Jul-23,8746.4,10%
PO-00122,Beta_Supplies,06-07-2023,19-07-2023,Electronics,Delivered,1995,90.65,77.75,206,Yes,180846.75,13,Jul-23,25735.5,10%
PO-00123,Alpha_Inc,27-09-2022,15-10-2022,Raw Materials,Delivered,266,103.97,101.44,6,Yes,27656.02,18,Sep-22,672.98,2%
PO-00124,Alpha_Inc,22-08-2023,25-08-2023,Raw Materials,Cancelled,813,109.17,107.39,14,Yes,88755.21,3,Aug-23,1447.14,2%
PO-00125,Epsilon_Group,15-03-2023,26-03-2023,Electronics,Delivered,237,64.19,59.01,7,Yes,15213.03,11,Mar-23,1227.66,3%
PO-00126,Alpha_Inc,21-08-2023,03-09-2023,Office Supplies,Cancelled,429,86.73,75.09,9,Yes,37207.17,13,Aug-23,4993.56,2%
PO-00127,Delta_Logistics,13-02-2023,14-02-2023,Packaging,Delivered,542,101.21,93.11,78,No,54855.82,1,Feb-23,4390.2,14%
PO-00128,Epsilon_Group,06-01-2023,24-01-2023,Electronics,Delivered,1114,91.66,85.53,35,Yes,102109.24,18,Jan-23,6828.82,3%
PO-00129,Alpha_Inc,13-08-2022,15-08-2022,MRO,Delivered,1230,33.39,30.85,26,Yes,41069.7,2,Aug-22,3124.2,2%
PO-00130,Beta_Supplies,22-05-2022,03-06-2022,MRO,Delivered,64,51.56,50.88,5,Yes,3299.84,12,May-22,43.52,8%
PO-00131,Alpha_Inc,06-06-2023,22-06-2023,MRO,Delivered,1886,23.46,23.18,,Yes,44245.56,16,Jun-23,528.08,0%
PO-00132,Delta_Logistics,21-05-2023,23-05-2023,Office Supplies,Delivered,114,103.53,101.54,14,Yes,11802.42,2,May-23,226.86,12%
PO-00133,Delta_Logistics,04-04-2022,22-04-2022,Electronics,Cancelled,1930,65.52,56.9,282,Yes,126453.6,18,Apr-22,16636.6,15%
PO-00134,Beta_Supplies,18-02-2022,28-02-2022,Office Supplies,Pending,1912,30.73,29.82,191,Yes,58755.76,10,Feb-22,1739.92,10%
PO-00135,Epsilon_Group,23-04-2022,09-05-2022,MRO,Delivered,570,71.51,66.47,,Yes,40760.7,16,Apr-22,2872.8,0%
PO-00136,Beta_Supplies,06-06-2022,26-06-2022,Raw Materials,Delivered,1417,67.27,60.62,,Yes,95321.59,20,Jun-22,9423.05,0%
PO-00137,Alpha_Inc,05-10-2023,11-10-2023,Raw Materials,Delivered,1202,46.67,44.13,21,No,56097.34,6,Oct-23,3053.08,2%
PO-00138,Beta_Supplies,13-06-2022,14-06-2022,Office Supplies,Delivered,697,20.73,19.83,78,No,14448.81,1,Jun-22,627.3,11%
PO-00139,Epsilon_Group,28-11-2023,01-12-2023,MRO,Delivered,1545,78.19,76.91,42,Yes,120803.55,3,Nov-23,1977.6,3%
PO-00140,Gamma_Co,09-03-2023,13-03-2023,MRO,Partially Delivered,1136,60.81,58.25,62,Yes,69080.16,4,Mar-23,2908.16,5%
PO-00141,Beta_Supplies,03-09-2023,07-09-2023,MRO,Delivered,1212,87.46,74.55,118,No,106001.52,4,Sep-23,15646.92,10%
PO-00142,Epsilon_Group,07-03-2022,12-03-2022,MRO,Delivered,1572,57.38,49.32,40,Yes,90201.36,5,Mar-22,12670.32,3%
PO-00143,Gamma_Co,30-01-2023,09-02-2023,Electronics,Delivered,642,91.9,81.49,26,Yes,58999.8,10,Jan-23,6683.22,4%
PO-00144,Epsilon_Group,26-01-2023,04-02-2023,Office Supplies,Delivered,441,63.25,54.12,16,Yes,27893.25,9,Jan-23,4026.33,4%
PO-00145,Epsilon_Group,03-09-2023,19-09-2023,Office Supplies,Delivered,1748,66.53,57.11,,Yes,116294.44,16,Sep-23,16466.16,0%
PO-00146,Gamma_Co,25-04-2023,,Electronics,Pending,468,95.57,91.8,24,Yes,44726.76,-45041,Apr-23,1764.36,5%
PO-00147,Beta_Supplies,26-06-2023,14-07-2023,Raw Materials,Delivered,338,50.25,46.28,49,No,16984.5,18,Jun-23,1341.86,14%
PO-00148,Gamma_Co,15-09-2022,22-09-2022,Office Supplies,Delivered,428,22.94,21.52,26,Yes,9818.32,7,Sep-22,607.76,6%
PO-00149,Beta_Supplies,21-07-2023,,Packaging,Delivered,1846,13.72,12.62,216,Yes,25327.12,-45128,Jul-23,2030.6,12%
PO-00150,Epsilon_Group,12-01-2022,17-01-2022,Office Supplies,Delivered,1563,77.96,70.8,41,Yes,121851.48,5,Jan-22,11191.08,3%
PO-00151,Beta_Supplies,28-11-2023,07-12-2023,Office Supplies,Delivered,280,73.07,69.29,30,Yes,20459.6,9,Nov-23,1058.4,11%
PO-00152,Delta_Logistics,28-04-2022,12-05-2022,Raw Materials,Delivered,1067,74.47,64.16,,No,79459.49,14,Apr-22,11000.77,0%
PO-00153,Gamma_Co,30-11-2023,17-12-2023,Electronics,Pending,90,32.38,29.96,7,Yes,2914.2,17,Nov-23,217.8,8%
PO-00154,Gamma_Co,04-07-2023,05-07-2023,Raw Materials,Delivered,1101,24.28,22.73,59,No,26732.28,1,Jul-23,1706.55,5%
PO-00155,Alpha_Inc,01-10-2022,11-10-2022,Raw Materials,Delivered,184,11.82,10.51,4,Yes,2174.88,10,Oct-22,241.04,2%
PO-00156,Epsilon_Group,19-10-2023,07-11-2023,Electronics,Delivered,250,45.92,41.02,3,Yes,11480,19,Oct-23,1225,1%
PO-00157,Epsilon_Group,15-12-2022,,Packaging,Cancelled,1913,66.56,61.34,61,Yes,127329.28,-44910,Dec-22,9985.86,3%
PO-00158,Beta_Supplies,25-04-2022,30-04-2022,Electronics,Delivered,829,45.98,40.39,,Yes,38117.42,5,Apr-22,4634.11,0%
PO-00159,Delta_Logistics,28-10-2022,13-11-2022,Raw Materials,Delivered,979,51.59,49.69,148,Yes,50506.61,16,Oct-22,1860.1,15%
PO-00160,Epsilon_Group,22-03-2023,09-04-2023,Electronics,Partially Delivered,1106,97.77,90.45,31,Yes,108133.62,18,Mar-23,8095.92,3%
PO-00161,Delta_Logistics,11-06-2022,24-06-2022,Office Supplies,Pending,1121,42.38,38.34,152,Yes,47507.98,13,Jun-22,4528.84,14%
PO-00162,Alpha_Inc,10-04-2023,21-04-2023,Office Supplies,Delivered,552,60.48,56.78,10,Yes,33384.96,11,Apr-23,2042.4,2%
PO-00163,Gamma_Co,04-01-2022,12-01-2022,Packaging,Delivered,456,80.53,77.86,26,Yes,36721.68,8,Jan-22,1217.52,6%
PO-00164,Delta_Logistics,27-09-2022,05-10-2022,Packaging,Delivered,1647,47.52,44.92,,Yes,78265.44,8,Sep-22,4282.2,0%
PO-00165,Epsilon_Group,28-05-2023,11-06-2023,Electronics,Pending,1801,71.27,61.24,43,Yes,128357.27,14,May-23,18064.03,2%
PO-00166,Gamma_Co,02-07-2022,18-07-2022,Electronics,Delivered,854,90.24,85.53,,Yes,77064.96,16,Jul-22,4022.34,0%
PO-00167,Delta_Logistics,04-06-2023,17-06-2023,Electronics,Delivered,148,103.57,98.62,23,No,15328.36,13,Jun-23,732.6,16%
PO-00168,Delta_Logistics,19-04-2022,24-04-2022,MRO,Delivered,733,23.59,22.85,92,Yes,17291.47,5,Apr-22,542.42,13%
PO-00169,Beta_Supplies,03-10-2023,05-10-2023,Raw Materials,Delivered,1945,103.2,88.56,,Yes,200724,2,Oct-23,28474.8,0%
PO-00170,Gamma_Co,02-11-2022,21-11-2022,Raw Materials,Delivered,775,57,49.14,48,Yes,44175,19,Nov-22,6091.5,6%
PO-00171,Delta_Logistics,17-10-2023,21-10-2023,Packaging,Delivered,1620,36.73,33.45,235,No,59502.6,4,Oct-23,5313.6,15%
PO-00172,Beta_Supplies,04-06-2023,19-06-2023,Office Supplies,Delivered,1010,55.68,50.86,,Yes,56236.8,15,Jun-23,4868.2,0%
PO-00173,Epsilon_Group,16-09-2023,01-10-2023,Office Supplies,Delivered,1812,108.02,101.02,51,Yes,195732.24,15,Sep-23,12684,3%
PO-00174,Delta_Logistics,23-07-2022,28-07-2022,Office Supplies,Delivered,662,55.97,50,100,Yes,37052.14,5,Jul-22,3952.14,15%
PO-00175,Beta_Supplies,06-06-2022,11-06-2022,Office Supplies,Pending,1535,40.58,38.71,165,Yes,62290.3,5,Jun-22,2870.45,11%
PO-00176,Beta_Supplies,18-01-2023,27-01-2023,Raw Materials,Delivered,692,71.03,67.74,70,Yes,49152.76,9,Jan-23,2276.68,10%
PO-00177,Gamma_Co,15-06-2022,28-06-2022,MRO,Delivered,1842,32.4,28.08,96,Yes,59680.8,13,Jun-22,7957.44,5%
PO-00178,Beta_Supplies,07-07-2023,18-07-2023,Office Supplies,Cancelled,1078,18.34,17.41,102,Yes,19770.52,11,Jul-23,1002.54,9%
PO-00179,Delta_Logistics,28-06-2023,16-07-2023,Packaging,Delivered,1291,23.44,22.23,,Yes,30261.04,18,Jun-23,1562.11,0%
PO-00180,Alpha_Inc,01-01-2022,12-01-2022,Electronics,Delivered,552,21.52,18.79,13,Yes,11879.04,11,Jan-22,1506.96,2%
PO-00181,Epsilon_Group,06-09-2023,22-09-2023,Electronics,Delivered,816,26.04,25.61,28,Yes,21248.64,16,Sep-23,350.88,3%
PO-00182,Delta_Logistics,28-11-2022,30-11-2022,Packaging,Delivered,447,23.62,21.81,50,Yes,10558.14,2,Nov-22,809.07,11%
